Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Habitability
High,High,High,High,High,High,Low,Yes
Low,High,Low,Low,High,High,High,Yes
High,High,High,High,High,High,High,No
Low,Low,Low,Low,Low,Low,Low,No
Low,Low,Low,Low,Low,Low,Low,No
Low,Low,Low,Low,Low,Low,Low,Yes
High,High,High,High,High,High,High,Yes
High,High,High,High,High,High,High,Yes
High,High,High,High,High,High,High,Yes
High,High,High,Low,High,High,High,Yes
High,High,High,High,High,High,High,Yes
Low,Low,Low,Low,Low,Low,Low,Yes
High,High,High,High,High,High,High,Yes
High,High,High,High,High,High,High,Yes
Low,Low,Low,Low,Low,Low,Low,No
High,High,High,High,High,High,High,Yes
High,High,High,High,High,High,Low,No
Low,Low,Low,Low,Low,Low,Low,No
Low,Low,Low,Low,Low,Low,Low,Yes
Low,Low,Low,Low,Low,Low,Low,Yes
High,High,High,High,High,High,High,Yes
High,High,High,High,High,High,High,Yes
Low,Low,Low,Low,High,High,Low,Yes
High,High,High,High,High,High,High,Yes
Low,Low,Low,Low,Low,Low,Low,Yes
High,High,High,High,High,High,High,Yes
Low,Low,Low,Low,Low,Low,Low,No
Low,Low,Low,Low,Low,Low,Low,Yes
Low,Low,Low,Low,Low,Low,Low,Yes
Low,Low,Low,Low,Low,Low,High,Yes
Low,Low,Low,Low,Low,Low,Low,Yes
High,High,High,Low,High,High,Low,Yes
High,High,Low,High,High,High,Low,No
Low,Low,Low,High,Low,Low,Low,Yes
Low,Low,Low,Low,Low,Low,Low,No
High,High,High,High,High,High,High,Yes
High,High,High,High,High,High,Low,No
High,High,High,High,High,High,High,Yes
Low,Low,Low,Low,Low,Low,Low,Yes
Low,Low,Low,Low,High,High,High,Yes
High,High,High,High,Low,High,High,Yes
High,Low,Low,High,High,High,High,Yes
High,Low,High,High,High,Low,High,Yes
Low,Low,Low,Low,Low,High,High,Yes
Low,Low,Low,Low,Low,Low,Low,Yes
Low,Low,Low,Low,Low,Low,Low,Yes
