Country/Region,Confirmed,Deaths,Recovered,Active,Habitability
Afghanistan,36263,1269,25198,9796,Yes
Albania,4880,144,2745,1991,Yes
Algeria,27973,1163,18837,7973,No
Andorra,907,52,803,52,No
Angola,950,41,242,667,No
Antigua and Barbuda,86,3,65,18,Yes
Argentina,167416,3059,72575,91782,Yes
Armenia,37390,711,26665,10014,Yes
Australia,15303,167,9311,5825,Yes
Austria,20558,713,18246,1599,Yes
Azerbaijan,30446,423,23242,6781,Yes
Bahamas,382,11,91,280,Yes
Bahrain,39482,141,36110,3231,Yes
Bangladesh,226225,2965,125683,97577,Yes
Barbados,110,7,94,9,No
Belarus,67251,538,60492,6221,Yes
Belgium,66428,9822,17452,39154,No
Belize,48,2,26,20,No
Benin,1770,35,1036,699,Yes
Bhutan,99,0,86,13,Yes
Bolivia,71181,2647,21478,47056,Yes
Bosnia and Herzegovina,10498,294,4930,5274,Yes
Botswana,739,2,63,674,Yes
Brazil,2442375,87618,1846641,508116,Yes
Brunei,141,3,138,0,Yes
Bulgaria,10621,347,5585,4689,Yes
Burkina Faso,1100,53,926,121,No
Burma,350,6,292,52,Yes
Burundi,378,1,301,76,Yes
Cabo Verde,2328,22,1550,756,Yes
Cambodia,226,0,147,79,Yes
Cameroon,17110,391,14539,2180,Yes
Canada,116458,8944,0,107514,No
Central African Republic,4599,59,1546,2994,Yes
Chad,922,75,810,37,No
Chile,347923,9187,319954,18782,Yes
China,86783,4656,78869,3258,No
Colombia,257101,8777,131161,117163,Yes
Comoros,354,7,328,19,Yes
Congo (Brazzaville),3200,54,829,2317,Yes
Congo (Kinshasa),8844,208,5700,2936,Yes
Costa Rica,15841,115,3824,11902,Yes
Cote d'Ivoire,15655,96,10361,5198,Yes
Croatia,4881,139,3936,806,Yes
Cuba,2532,87,2351,94,Yes
Cyprus,1060,19,852,189,Yes
Czechia,15516,373,11428,3715,Yes
Denmark,13761,613,12605,543,No
Djibouti,5059,58,4977,24,Yes
Dominica,18,0,18,0,Yes
Dominican Republic,64156,1083,30204,32869,Yes
Ecuador,81161,5532,34896,40733,No
Egypt,92482,4652,34838,52992,No
El Salvador,15035,408,7778,6849,Yes
Equatorial Guinea,3071,51,842,2178,Yes
Eritrea,265,0,191,74,Yes
Estonia,2034,69,1923,42,Yes
Eswatini,2316,34,1025,1257,Yes
Ethiopia,14547,228,6386,7933,Yes
Fiji,27,0,18,9,Yes
Finland,7398,329,6920,149,No
France,220352,30212,81212,108928,No
Gabon,7189,49,4682,2458,Yes
Gambia,326,8,66,252,Yes
Georgia,1137,16,922,199,Yes
Germany,207112,9125,190314,7673,No
Ghana,33624,168,29801,3655,Yes
Greece,4227,202,1374,2651,No
Greenland,14,0,13,1,Yes
Grenada,23,0,23,0,Yes
Guatemala,45309,1761,32455,11093,Yes
Guinea,7055,45,6257,753,Yes
Guinea-Bissau,1954,26,803,1125,Yes
Guyana,389,20,181,188,No
Haiti,7340,158,4365,2817,Yes
Holy See,12,0,12,0,Yes
Honduras,39741,1166,5039,33536,Yes
Hungary,4448,596,3329,523,No
Iceland,1854,10,1823,21,Yes
India,1480073,33408,951166,495499,Yes
Indonesia,100303,4838,58173,37292,No
Iran,293606,15912,255144,22550,No
Iraq,112585,4458,77144,30983,Yes
Ireland,25892,1764,23364,764,No
Israel,63985,474,27133,36378,Yes
Italy,246286,35112,198593,12581,No
Jamaica,853,10,714,129,Yes
Japan,31142,998,21970,8174,Yes
Jordan,1176,11,1041,124,Yes
Kazakhstan,84648,585,54404,29659,Yes
Kenya,17975,285,7833,9857,Yes
Kosovo,7413,185,4027,3201,Yes
Kuwait,64379,438,55057,8884,Yes
Kyrgyzstan,33296,1301,21205,10790,Yes
Laos,20,0,19,1,Yes
Latvia,1219,31,1045,143,Yes
Lebanon,3882,51,1709,2122,Yes
Lesotho,505,12,128,365,Yes
Liberia,1167,72,646,449,No
Libya,2827,64,577,2186,Yes
Liechtenstein,86,1,81,4,Yes
Lithuania,2019,80,1620,319,Yes
Luxembourg,6321,112,4825,1384,Yes
Madagascar,9690,91,6260,3339,Yes
Malawi,3664,99,1645,1920,Yes
Malaysia,8904,124,8601,179,Yes
Maldives,3369,15,2547,807,Yes
Mali,2513,124,1913,476,No
Malta,701,9,665,27,Yes
Mauritania,6208,156,4653,1399,Yes
Mauritius,344,10,332,2,Yes
Mexico,395489,44022,303810,47657,No
Moldova,23154,748,16154,6252,Yes
Monaco,116,4,104,8,Yes
Mongolia,289,0,222,67,Yes
Montenegro,2893,45,809,2039,Yes
Morocco,20887,316,16553,4018,Yes
Mozambique,1701,11,0,1690,Yes
Namibia,1843,8,101,1734,Yes
Nepal,18752,48,13754,4950,Yes
Netherlands,53413,6160,189,47064,No
New Zealand,1557,22,1514,21,Yes
Nicaragua,3439,108,2492,839,Yes
Niger,1132,69,1027,36,No
Nigeria,41180,860,18203,22117,Yes
North Macedonia,10213,466,5564,4183,No
Norway,9132,255,8752,125,Yes
Oman,77058,393,57028,19637,Yes
Pakistan,274289,5842,241026,27421,Yes
Panama,61442,1322,35086,25034,Yes
Papua New Guinea,62,0,11,51,Yes
